Date,Bar Name,Brand Name,Actual Demand (ml),Forecast (ml),Par Level (ml),Chosen Model
2023-11-24,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-25,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-26,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-27,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-28,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-29,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-11-30,Anderson's Bar,Bacardi,447.39,0.0,420,7-day moving average
2023-12-01,Anderson's Bar,Bacardi,0.0,63.91285714285714,540,7-day moving average
2023-12-02,Anderson's Bar,Bacardi,0.0,63.91285714285714,540,7-day moving average
2023-12-03,Anderson's Bar,Bacardi,253.14,63.91285714285714,540,7-day moving average
2023-12-04,Anderson's Bar,Bacardi,0.0,100.07571428571428,630,7-day moving average
2023-12-05,Anderson's Bar,Bacardi,0.0,100.07571428571428,630,7-day moving average
2023-12-06,Anderson's Bar,Bacardi,0.0,100.07571428571428,630,7-day moving average
2023-12-07,Anderson's Bar,Bacardi,385.4,100.07571428571428,630,7-day moving average
2023-12-08,Anderson's Bar,Bacardi,0.0,91.22,600,7-day moving average
2023-12-09,Anderson's Bar,Bacardi,0.0,91.22,600,7-day moving average
2023-12-10,Anderson's Bar,Bacardi,323.19,91.22,600,7-day moving average
2023-12-11,Anderson's Bar,Bacardi,0.0,101.22714285714285,630,7-day moving average
2023-12-12,Anderson's Bar,Bacardi,0.0,101.22714285714285,630,7-day moving average
2023-12-13,Anderson's Bar,Bacardi,0.0,101.22714285714285,630,7-day moving average
2023-12-14,Anderson's Bar,Bacardi,0.0,101.22714285714285,630,7-day moving average
2023-12-15,Anderson's Bar,Bacardi,0.0,46.17,510,7-day moving average
2023-12-16,Anderson's Bar,Bacardi,0.0,46.17,510,7-day moving average
2023-12-17,Anderson's Bar,Bacardi,0.0,46.17,510,7-day moving average
2023-12-18,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-12-19,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-12-20,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-12-21,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-12-22,Anderson's Bar,Bacardi,0.0,0.0,420,7-day moving average
2023-12-23,Anderson's Bar,Bacardi,517.0,0.0,420,7-day moving average
2023-12-24,Anderson's Bar,Bacardi,0.0,73.85714285714286,570,7-day moving average
2023-12-25,Anderson's Bar,Bacardi,0.0,73.85714285714286,570,7-day moving average
2023-12-26,Anderson's Bar,Bacardi,0.0,73.85714285714286,570,7-day moving average
2023-12-27,Anderson's Bar,Bacardi,319.29,73.85714285714286,570,7-day moving average
2023-12-28,Anderson's Bar,Bacardi,475.96,119.47,660,7-day moving average
2023-12-29,Anderson's Bar,Bacardi,502.15,187.46428571428572,810,7-day moving average
2023-12-30,Anderson's Bar,Bacardi,0.0,259.2,930,7-day moving average
2023-12-31,Anderson's Bar,Bacardi,498.25,185.34285714285716,780,7-day moving average
2024-01-01,Anderson's Bar,Bacardi,0.0,256.5214285714286,930,7-day moving average
2023-10-21,Anderson's Bar,Barefoot,0.0,56.74,540,day-of-week seasonal mean
2023-10-22,Anderson's Bar,Barefoot,0.0,113.67125,630,day-of-week seasonal mean
2023-10-23,Anderson's Bar,Barefoot,0.0,52.16,510,day-of-week seasonal mean
2023-10-24,Anderson's Bar,Barefoot,0.0,98.88749999999999,600,day-of-week seasonal mean
2023-10-25,Anderson's Bar,Barefoot,0.0,283.63,990,day-of-week seasonal mean
2023-10-26,Anderson's Bar,Barefoot,0.0,211.00875,840,day-of-week seasonal mean
2023-10-27,Anderson's Bar,Barefoot,0.0,203.03750000000002,810,day-of-week seasonal mean
2023-10-28,Anderson's Bar,Barefoot,0.0,56.74,540,day-of-week seasonal mean
2023-10-29,Anderson's Bar,Barefoot,0.0,113.67125000000001,630,day-of-week seasonal mean
2023-10-30,Anderson's Bar,Barefoot,0.0,52.16,510,day-of-week seasonal mean
2023-10-31,Anderson's Bar,Barefoot,0.0,98.88749999999999,600,day-of-week seasonal mean
2023-11-01,Anderson's Bar,Barefoot,0.0,283.63,990,day-of-week seasonal mean
2023-11-02,Anderson's Bar,Barefoot,0.0,211.00875,840,day-of-week seasonal mean
2023-11-03,Anderson's Bar,Barefoot,0.0,155.3375,720,day-of-week seasonal mean
2023-11-04,Anderson's Bar,Barefoot,0.0,56.74,540,day-of-week seasonal mean
2023-11-05,Anderson's Bar,Barefoot,349.94,113.67125000000001,630,day-of-week seasonal mean
2023-11-06,Anderson's Bar,Barefoot,0.0,52.16,510,day-of-week seasonal mean
2023-11-07,Anderson's Bar,Barefoot,0.0,60.4725,540,day-of-week seasonal mean
2023-11-08,Anderson's Bar,Barefoot,0.0,267.02625,960,day-of-week seasonal mean
2023-11-09,Anderson's Bar,Barefoot,0.0,211.00875,840,day-of-week seasonal mean
2023-11-10,Anderson's Bar,Barefoot,0.0,155.3375,720,day-of-week seasonal mean
2023-11-11,Anderson's Bar,Barefoot,0.0,56.74,540,day-of-week seasonal mean
2023-11-12,Anderson's Bar,Barefoot,573.65,157.41375000000002,720,day-of-week seasonal mean
2023-11-13,Anderson's Bar,Barefoot,0.0,52.16,510,day-of-week seasonal mean
2023-11-14,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-11-15,Anderson's Bar,Barefoot,0.0,195.27,810,day-of-week seasonal mean
2023-11-16,Anderson's Bar,Barefoot,231.8,143.36374999999998,690,day-of-week seasonal mean
2023-11-17,Anderson's Bar,Barefoot,0.0,95.38375,600,day-of-week seasonal mean
2023-11-18,Anderson's Bar,Barefoot,0.0,56.74,540,day-of-week seasonal mean
2023-11-19,Anderson's Bar,Barefoot,0.0,192.24874999999997,810,day-of-week seasonal mean
2023-11-20,Anderson's Bar,Barefoot,0.0,52.16,510,day-of-week seasonal mean
2023-11-21,Anderson's Bar,Barefoot,384.85,0.0,420,day-of-week seasonal mean
2023-11-22,Anderson's Bar,Barefoot,0.0,195.27,810,day-of-week seasonal mean
2023-11-23,Anderson's Bar,Barefoot,0.0,111.04374999999999,630,day-of-week seasonal mean
2023-11-24,Anderson's Bar,Barefoot,0.0,73.4925,570,day-of-week seasonal mean
2023-11-25,Anderson's Bar,Barefoot,0.0,56.74,540,day-of-week seasonal mean
2023-11-26,Anderson's Bar,Barefoot,0.0,147.1025,720,day-of-week seasonal mean
2023-11-27,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-11-28,Anderson's Bar,Barefoot,0.0,48.10625,510,day-of-week seasonal mean
2023-11-29,Anderson's Bar,Barefoot,0.0,130.895,690,day-of-week seasonal mean
2023-11-30,Anderson's Bar,Barefoot,250.5,111.04374999999999,630,day-of-week seasonal mean
2023-12-01,Anderson's Bar,Barefoot,0.0,73.4925,570,day-of-week seasonal mean
2023-12-02,Anderson's Bar,Barefoot,287.17,56.74,540,day-of-week seasonal mean
2023-12-03,Anderson's Bar,Barefoot,124.88,147.1025,720,day-of-week seasonal mean
2023-12-04,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-12-05,Anderson's Bar,Barefoot,0.0,48.10625,510,day-of-week seasonal mean
2023-12-06,Anderson's Bar,Barefoot,0.0,18.43375,450,day-of-week seasonal mean
2023-12-07,Anderson's Bar,Barefoot,0.0,142.35625,690,day-of-week seasonal mean
2023-12-08,Anderson's Bar,Barefoot,0.0,73.4925,570,day-of-week seasonal mean
2023-12-09,Anderson's Bar,Barefoot,275.74,92.63625,600,day-of-week seasonal mean
2023-12-10,Anderson's Bar,Barefoot,0.0,131.05875,690,day-of-week seasonal mean
2023-12-11,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-12-12,Anderson's Bar,Barefoot,513.52,48.10625,510,day-of-week seasonal mean
2023-12-13,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-12-14,Anderson's Bar,Barefoot,0.0,97.9925,600,day-of-week seasonal mean
2023-12-15,Anderson's Bar,Barefoot,0.0,73.4925,570,day-of-week seasonal mean
2023-12-16,Anderson's Bar,Barefoot,0.0,70.36375000000001,570,day-of-week seasonal mean
2023-12-17,Anderson's Bar,Barefoot,0.0,131.05874999999997,690,day-of-week seasonal mean
2023-12-18,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-12-19,Anderson's Bar,Barefoot,287.38,112.29625,630,day-of-week seasonal mean
2023-12-20,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-12-21,Anderson's Bar,Barefoot,0.0,60.2875,540,day-of-week seasonal mean
2023-12-22,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-12-23,Anderson's Bar,Barefoot,0.0,70.36375000000001,570,day-of-week seasonal mean
2023-12-24,Anderson's Bar,Barefoot,0.0,131.05874999999997,690,day-of-week seasonal mean
2023-12-25,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-12-26,Anderson's Bar,Barefoot,0.0,148.21875,720,day-of-week seasonal mean
2023-12-27,Anderson's Bar,Barefoot,194.55,0.0,420,day-of-week seasonal mean
2023-12-28,Anderson's Bar,Barefoot,0.0,60.2875,540,day-of-week seasonal mean
2023-12-29,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-12-30,Anderson's Bar,Barefoot,142.77,70.36375000000001,570,day-of-week seasonal mean
2023-12-31,Anderson's Bar,Barefoot,0.0,131.05874999999997,690,day-of-week seasonal mean
2024-01-01,Anderson's Bar,Barefoot,0.0,0.0,420,day-of-week seasonal mean
2023-10-21,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-10-22,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-10-23,Anderson's Bar,Budweiser,0.0,50.46,390,day-of-week seasonal mean
2023-10-24,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-10-25,Anderson's Bar,Budweiser,0.0,76.47375,450,day-of-week seasonal mean
2023-10-26,Anderson's Bar,Budweiser,0.0,73.49625,420,day-of-week seasonal mean
2023-10-27,Anderson's Bar,Budweiser,0.0,52.52625,390,day-of-week seasonal mean
2023-10-28,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-10-29,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-10-30,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-10-31,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-01,Anderson's Bar,Budweiser,0.0,76.47375,450,day-of-week seasonal mean
2023-11-02,Anderson's Bar,Budweiser,0.0,20.21,330,day-of-week seasonal mean
2023-11-03,Anderson's Bar,Budweiser,0.0,52.52625,390,day-of-week seasonal mean
2023-11-04,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-05,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-06,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-07,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-08,Anderson's Bar,Budweiser,0.0,76.47375,450,day-of-week seasonal mean
2023-11-09,Anderson's Bar,Budweiser,0.0,20.21,330,day-of-week seasonal mean
2023-11-10,Anderson's Bar,Budweiser,0.0,52.52625,390,day-of-week seasonal mean
2023-11-11,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-12,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-13,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-14,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-15,Anderson's Bar,Budweiser,0.0,76.47375,450,day-of-week seasonal mean
2023-11-16,Anderson's Bar,Budweiser,0.0,20.21,330,day-of-week seasonal mean
2023-11-17,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-18,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-19,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-20,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-21,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-22,Anderson's Bar,Budweiser,0.0,18.19375,330,day-of-week seasonal mean
2023-11-23,Anderson's Bar,Budweiser,0.0,20.21,330,day-of-week seasonal mean
2023-11-24,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-25,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-26,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-27,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-28,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-29,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-11-30,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-01,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-02,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-03,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-04,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-05,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-06,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-07,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-08,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-09,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-10,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-11,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-12,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-13,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-14,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-15,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-16,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-17,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-18,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-19,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-20,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-21,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-22,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-23,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-24,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-25,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-26,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-27,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-28,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-29,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-30,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-12-31,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2024-01-01,Anderson's Bar,Budweiser,0.0,0.0,300,day-of-week seasonal mean
2023-10-21,Anderson's Bar,Captain Morgan,0.0,146.575,720,day-of-week seasonal mean
2023-10-22,Anderson's Bar,Captain Morgan,0.0,244.8425,930,day-of-week seasonal mean
2023-10-23,Anderson's Bar,Captain Morgan,0.0,0.0,450,day-of-week seasonal mean
2023-10-24,Anderson's Bar,Captain Morgan,0.0,30.59625,510,day-of-week seasonal mean
2023-10-25,Anderson's Bar,Captain Morgan,0.0,145.31,720,day-of-week seasonal mean
2023-10-26,Anderson's Bar,Captain Morgan,0.0,53.0025,540,day-of-week seasonal mean
2023-10-27,Anderson's Bar,Captain Morgan,0.0,27.7375,480,day-of-week seasonal mean
2023-10-28,Anderson's Bar,Captain Morgan,502.89,146.575,720,day-of-week seasonal mean
2023-10-29,Anderson's Bar,Captain Morgan,0.0,244.8425,930,day-of-week seasonal mean
2023-10-30,Anderson's Bar,Captain Morgan,0.0,0.0,450,day-of-week seasonal mean
2023-10-31,Anderson's Bar,Captain Morgan,374.87,30.59625,510,day-of-week seasonal mean
2023-11-01,Anderson's Bar,Captain Morgan,0.0,145.31,720,day-of-week seasonal mean
2023-11-02,Anderson's Bar,Captain Morgan,0.0,53.0025,540,day-of-week seasonal mean
2023-11-03,Anderson's Bar,Captain Morgan,222.58,27.7375,480,day-of-week seasonal mean
2023-11-04,Anderson's Bar,Captain Morgan,0.0,209.43625,870,day-of-week seasonal mean
2023-11-05,Anderson's Bar,Captain Morgan,479.39,244.8425,930,day-of-week seasonal mean
2023-11-06,Anderson's Bar,Captain Morgan,0.0,0.0,450,day-of-week seasonal mean
2023-11-07,Anderson's Bar,Captain Morgan,269.92,77.455,600,day-of-week seasonal mean
2023-11-08,Anderson's Bar,Captain Morgan,459.83,145.31,720,day-of-week seasonal mean
2023-11-09,Anderson's Bar,Captain Morgan,0.0,53.0025,540,day-of-week seasonal mean
2023-11-10,Anderson's Bar,Captain Morgan,0.0,55.56,540,day-of-week seasonal mean
2023-11-11,Anderson's Bar,Captain Morgan,0.0,209.43624999999997,870,day-of-week seasonal mean
2023-11-12,Anderson's Bar,Captain Morgan,0.0,232.6375,900,day-of-week seasonal mean
2023-11-13,Anderson's Bar,Captain Morgan,0.0,0.0,450,day-of-week seasonal mean
2023-11-14,Anderson's Bar,Captain Morgan,0.0,111.195,660,day-of-week seasonal mean
2023-11-15,Anderson's Bar,Captain Morgan,0.0,202.78875,840,day-of-week seasonal mean
2023-11-16,Anderson's Bar,Captain Morgan,0.0,53.0025,540,day-of-week seasonal mean
2023-11-17,Anderson's Bar,Captain Morgan,0.0,55.56,540,day-of-week seasonal mean
2023-11-18,Anderson's Bar,Captain Morgan,120.09,209.43624999999997,870,day-of-week seasonal mean
2023-11-19,Anderson's Bar,Captain Morgan,164.6,232.6375,900,day-of-week seasonal mean
